em,country,sector,units,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019
NH3,ago,1A2g_Ind-Comb-Construction,ktNH3,0.026691945,0.031380474,0.032517392,0.034059433,0.012579261,0.021651934,0.034633068,0.015436453,0.057985651,0.019790324,0.020822703,0.021651237
NH3,ago,1A2g_Ind-Comb-machinery,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A2g_Ind-Comb-mining-quarying,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A2g_Ind-Comb-other,ktNH3,0.484691055,0.493401336,0.505201338,0.517399967,0.538009539,0.546053366,0.544036522,0.554142593,0.704476782,0.532739525,0.540149489,0.544890577
NH3,ago,1A2g_Ind-Comb-textile-leather,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A2g_Ind-Comb-transpequip,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A2g_Ind-Comb-wood-products,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A3b_Road,ktNH3,0.01892292,0.02304046,0.026899338,0.030169377,0.030263443,0.030999975,0.033372375,0.031735207,0.028705862,0.023260624,0.024474034,0.025447853
NH3,ago,1A3c_Rail,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A3di_Oil_Tanker_Loading,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A3dii_Domestic-navigation,ktNH3,5.00E-04,0.00042,0.00045,0.00051,0.00054,0.00069,0.00069,6.00E-04,0.00054,0.00039,0.000410345,0.000426672
NH3,ago,1A3eii_Other-transp,ktNH3,0,0,0,0,0,0,0,0,0,0,0,0
NH3,ago,1A4a_Commercial-institutional,ktNH3,0.175546835,0.208056111,0.229291841,0.25450593,0.266650739,0.343547999,0.342026183,0.295568722,0.260716502,0.181705972,0.191184817,0.19879204
NH3,ago,1A4b_Residential,ktNH3,25.57989384,26.10395403,26.62904394,27.15721954,27.70821955,28.21381542,28.75530071,29.15519234,29.54992848,29.90769182,29.91415319,29.91933876
